Section,Line item,"Your figure (per year, in your currency)"
Public cloud — current,Compute (VMs / instances),
Public cloud — current,Managed Kubernetes / PaaS,
Public cloud — current,Block & object storage,
Public cloud — current,Egress / inter-AZ data transfer,
Public cloud — current,Load balancers / networking,
Public cloud — current,Managed databases,
Public cloud — current,Idle / oversized resources (waste),
Public cloud — current,Commitment (RI/SP) underutilisation,
Public cloud — current,Support plan,
Public cloud — current,= Annual public-cloud TCO (A),
Destination (owned / Cozystack),"Hardware capex, amortized per year",
Destination (owned / Cozystack),Datacenter / colocation + power,
Destination (owned / Cozystack),Network bandwidth + cross-site egress,
Destination (owned / Cozystack),Backup & DR infrastructure,
Destination (owned / Cozystack),Platform-engineering capacity (FTE cost),
Destination (owned / Cozystack),Ænix support / subscription,
Destination (owned / Cozystack),Software licenses (if any),
Destination (owned / Cozystack),= Annual destination TCO (B),
One-time,Migration / build cost (C),
Result,Net annual saving (A − B),
Result,3-year net saving ((A−B)×3 − C),
Result,Payback months (C ÷ ((A−B)/12)),
