Abschnitt,Position,"Ihr Wert (pro Jahr, in Ihrer Währung)"
Public Cloud — aktuell,Compute (VMs / Instanzen),
Public Cloud — aktuell,Managed Kubernetes / PaaS,
Public Cloud — aktuell,Block- & Objektspeicher,
Public Cloud — aktuell,Egress / Datentransfer zwischen AZ,
Public Cloud — aktuell,Load Balancer / Netzwerk,
Public Cloud — aktuell,Managed Datenbanken,
Public Cloud — aktuell,Ungenutzte / überdimensionierte Ressourcen,
Public Cloud — aktuell,Ungenutzte Commitments (RI/SP),
Public Cloud — aktuell,Support-Plan,
Public Cloud — aktuell,= Jährliche Public-Cloud-TCO (A),
Ziel (eigen / Cozystack),"Hardware-Capex, jährlich abgeschrieben",
Ziel (eigen / Cozystack),Rechenzentrum / Colocation + Strom,
Ziel (eigen / Cozystack),Netzwerk-Bandbreite + Standort-Egress,
Ziel (eigen / Cozystack),Backup- & DR-Infrastruktur,
Ziel (eigen / Cozystack),Platform-Engineering-Kapazität (VZÄ-Kosten),
Ziel (eigen / Cozystack),Ænix-Support / Abo,
Ziel (eigen / Cozystack),Softwarelizenzen (falls vorhanden),
Ziel (eigen / Cozystack),= Jährliche Ziel-TCO (B),
Einmalig,Migrations-/Aufbaukosten (C),
Ergebnis,Netto-Ersparnis pro Jahr (A − B),
Ergebnis,Netto-Ersparnis über 3 Jahre ((A−B)×3 − C),
Ergebnis,Amortisation in Monaten (C ÷ ((A−B)/12)),
